EMPLOYEE_NAME,EMPLOYEE_ID,MANAGER_ID,PHONE_NUMBER,HIRE_DATE,SALARY,JOB,DEPARTMENT
Hermann Baer,204,101,(515) 123-8888,2004-06-07,10000,SALES REP,SALES
Shelley Higgins,205,101,(515) 123-8080,2004-06-07,12000,CONTROLLER,FINANCE
Steven King,100,,(515) 123-4567,2003-06-17,24000,PRESIDENT,PRESIDENCE
Neena Kochhar,101,100,(515) 123-4568,2003-06-17,17000,VP,PRESIDENCE
Lex De Haan,102,100,(515) 123-4569,2003-06-17,17000,VP,PRESIDENCE
Alexander Hunold,103,102,(590) 423-4567,2006-01-03,9000,PROGRAMMER,IT
Bruce Ernst,104,103,(590) 423-4568,2007-05-21,6000,PROGRAMMER,IT
Valli Pataballa,106,103,(590) 423-4560,2007-05-21,4800,PROGRAMMER,IT
Nancy Greenberg,108,101,(515) 124-4569,2006-01-03,12000,MANAGER,FINANCE
Ismael Sciarra,111,108,(515) 124-4369,2007-09-30,7700,ACCOUNTANT,FINANCE
Jose Manuel Urman,112,108,(515) 124-4469,2006-03-07,7800,ACCOUNTANT,FINANCE
Luis Popp,113,108,(515) 124-4567,2007-05-21,6900,ACCOUNTANT,FINANCE
Den Raphaely,114,100,(515) 127-4561,2003-06-17,11000,MANAGER,ANALYTICS
Alexander Khoo,115,114,(515) 127-4562,2005-12-24,3100,CLERK,ANALYTICS
Shelli Baida,116,114,(515) 127-4563,2005-12-24,2900,CLERK,ANALYTICS
Adam Fripp,121,100,(650) 123-2234,2003-06-17,8200,MANAGER,DOCUMENTATION
Laura Bissot,129,121,(650) 124-5234,2004-06-07,3300,CLERK,DOCUMENTATION
